SROM fields,,,,,,BCM943602X100EVB_6 Rev 13 (FCC),,
Byte Offset,,Word Offset,,Description,Value,Explanation,,
894,37E,447,1BF,pa5g40b3w3a2,0x2D14,5Ghz_subband3_PA_parameters_word3,,
896,380,448,1C0,pa5g40b4w0a2,0x1B4E,5Ghz_subband4_PA_parameters_word0,,
898,382,449,1C1,pa5g40b4w1a2,0xDAE9,5Ghz_subband4_PA_parameters_word1,,
900,384,450,1C2,pa5g40b4w2a2,0xF931,5Ghz_subband4_PA_parameters_word2,,
902,386,451,1C3,pa5g40b4w3a2,0x29D6,5Ghz_subband4_PA_parameters_word3,,
904,388,452,1C4,pa5g80b0w0a2,0x1B87,5Ghz_subband0_PA_parameters_word0,,
906,38A,453,1C5,pa5g80b0w1a2,0xD767,5Ghz_subband0_PA_parameters_word1,,
908,38C,454,1C6,pa5g80b0w2a2,0xFAB3,5Ghz_subband0_PA_parameters_word2,,
910,38E,455,1C7,pa5g80b0w3a2,0x217F,5Ghz_subband0_PA_parameters_word3,,
912,390,456,1C8,pa5g80b1w0a2,0x1BCD,5Ghz_subband1_PA_parameters_word0,,
914,392,457,1C9,pa5g80b1w1a2,0xD594,5Ghz_subband1_PA_parameters_word1,,
916,394,458,1CA,pa5g80b1w2a2,0xFBA9,5Ghz_subband1_PA_parameters_word2,,
918,396,459,1CB,pa5g80b1w3a2,0x24DD,5Ghz_subband1_PA_parameters_word3,,
920,398,460,1CC,pa5g80b2w0a2,0x1B58,5Ghz_subband2_PA_parameters_word0,,
922,39A,461,1CD,pa5g80b2w1a2,0xD8C5,5Ghz_subband2_PA_parameters_word1,,
924,39C,462,1CE,pa5g80b2w2a2,0xFA0C,5Ghz_subband2_PA_parameters_word2,,
926,39E,463,1CF,pa5g80b2w3a2,0x209B,5Ghz_subband2_PA_parameters_word3,,
928,3A0,464,1D0,pa5g80b3w0a2,0x1B39,5Ghz_subband3_PA_parameters_word0,,
930,3A2,465,1D1,pa5g80b3w1a2,0xD9ED,5Ghz_subband3_PA_parameters_word1,,
932,3A4,466,1D2,pa5g80b3w2a2,0xF9A8,5Ghz_subband3_PA_parameters_word2,,
934,3A6,467,1D3,pa5g80b0w3a2,0x20E4,5Ghz_subband3_PA_parameters_word3,,
936,3A8,468,1D4,pa5g80b4w0a2,0x1B33,5Ghz_subband4_PA_parameters_word0,,
938,3AA,469,1D5,pa5g80b4w1a2,0xD9FC,5Ghz_subband4_PA_parameters_word1,,
940,3AC,470,1D6,pa5g80b4w2a2,0xF9CB,5Ghz_subband4_PA_parameters_word2,,
942,3AE,471,1D7,pa5g80b4w3a2,0x2307,5Ghz_subband4_PA_parameters_word3,,
944,3B0,472,1D8,pdoffset2gcck,0x0842,"20 MHz PD offset: 2Gsubband0, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
946,3B2,473,1D9,pdoffset20in40m5gb0,0x0000,"20in40 MHz PD offset: subband0, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
948,3B4,474,1DA,pdoffset20in40m5gb1,0x0000,"20in40 MHz PD offset: subband1, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
950,3B6,475,1DB,pdoffset20in40m5gb2,0x0000,"20in40 MHz PD offset: subband2, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
952,3B8,476,1DC,pdoffset20in40m5gb3,0x0000,"20in40 MHz PD offset: subband3, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
954,3BA,477,1DD,pdoffset20in40m5gb4,0x0000,"20in40 MHz PD offset: subband4, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
956,3BC,478,1DE,pdoffset40in80m5gb0,0x0000,"40in80 MHz PD offset: subband0, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
958,3BE,479,1DF,pdoffset40in80m5gb1,0x0000,"40in80 MHz PD offset: subband1, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
960,3C0,480,1E0,pdoffset40in80m5gb2,0x0000,"40in80 MHz PD offset: subband2, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
962,3C2,481,1E1,pdoffset40in80m5gb3,0x0000,"40in80 MHz PD offset: subband3, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
964,3C4,482,1E2,pdoffset40in80m5gb4,0x0000,"40in80 MHz PD offset: subband4, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
966,3C6,483,1E3,rxgaintempcoeff2g_b0_c0,0x424b  ,"2g rxgain temp coeff freq grp 0 core 0; [b15-8 for coeff with elna Off, b7-0 for coeff with elna On]. Same bit format for other core, band, bw, and 2g/5g cases below.",,
968,3C8,484,1E4,rxgaintempcoeff2g_b1_c0,0x424b ,2g rxgain temp coeff freq grp 1 core 0,,
970,3CA,485,1E5,rxgaintempcoeff2g_b2_c0,0x424b ,2g rxgain temp coeff freq grp 2 core 0,,
972,3CC,486,1E6,boardflags4 bits 111:96,0x0018 ,bit4: rssi_cal_rev; bit3: rxgaincal_rssical; bit0: 4dBpadboard,,
974,3CE,487,1E7,(boardflags4) bits 127:112,0x0000 ,,,
976,3D0,488,1E8,pdoffset20in80m5gb0,0x0000,"20in80 MHz PD offset: subband0, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
978,3D2,489,1E9,pdoffset20in80m5gb1,0x0000,"20in80 MHz PD offset: subband1, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
980,3D4,490,1EA,pdoffset20in80m5gb2,0x0000,"20in80 MHz PD offset: subband2, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
982,3D6,491,1EB,pdoffset20in80m5gb3,0x0000,"20in80 MHz PD offset: subband3, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
984,3D8,492,1EC,pdoffset20in80m5gb4,0x0000,"20in80 MHz PD offset: subband4, A2 (bits 10:14), A1 (bits 5:9), A0 (bits 0:4) (1/4 dB steps per antenna)",,
986,3DA,493,1ED,rxgaintempcoeff2g_b3_c0,0x424b ,2g rxgain temp coeff freq grp 3 core 0,,
988,3DC,494,1EE,rxgaintempcoeff2g_b4_c0,0x424b ,2g rxgain temp coeff freq grp 4 core 0,,
990,3DE,495,1EF,rxgaintempcoeff2g_b0_c1,0x424b ,2g rxgain temp coeff freq grp 0 core 1,,
992,3E0,496,1F0,rxgaintempcoeff2g_b1_c1,0x424b ,2g rxgain temp coeff freq grp 1 core 1,,
994,3E2,497,1F1,rxgaintempcoeff2g_b2_c1,0x424b ,2g rxgain temp coeff freq grp 2 core 1,,
996,3E4,498,1F2,rxgaintempcoeff2g_b3_c1,0x424b ,2g rxgain temp coeff freq grp 3 core 1,,
998,3E6,499,1F3,rxgaintempcoeff2g_b4_c1,0x424b ,2g rxgain temp coeff freq grp 4 core 1,,
1000,3E8,500,1F4,rxgaintempcoeff2g_b0_c2,0x424b ,2g rxgain temp coeff freq grp 0 core 2,,
1002,3EA,501,1F5,rxgaintempcoeff2g_b1_c2,0x424b ,2g rxgain temp coeff freq grp 1 core 2,,
1004,3EC,502,1F6,rxgaintempcoeff2g_b2_c2,0x424b ,2g rxgain temp coeff freq grp 2 core 2,,
1006,3EE,503,1F7,rxgaintempcoeff2g_b3_c2,0x424b ,2g rxgain temp coeff freq grp 3 core 2,,
1008,3F0,504,1F8,rxgaintempcoeff2g_b4_c2,0x424b ,2g rxgain temp coeff freq grp 4 core 2,,
1010,3F2,505,1F9,rxgaintempcoeff5gl_c2,0x2c32  ,5g rxgain temp coeff low band core 2,,
1012,3F4,506,1FA,rxgaintempcoeff5gml_c2,0x2c32  ,5g rxgain temp coeff mid-lower subband core 2,,
1014,3F6,507,1FB,rxgaintempcoeff5gmu_c2,0x2c32  ,5g rxgain temp coeff mid-upper subband core 2,,
1016,3F8,508,1FC,rxgaintempcoeff5gh_c2,0x2e34,5g rxgain temp coeff high band core 2,,
1018,3FA,509,1FD,reserved,0xffff  ,,,
1020,3FC,510,1FE,reserved,0xffff  ,,,
1022,3FE,511,1FF,sromrev,0x000c,7:0 Srom revision (rev 12),,
1024,400,512,200,length_txcal,0xffff,,,
1026,402,513,201,version_txcal,0xffff,,,
1028,404,514,202,devicetype_txcal,0xffff,,,
1030,406,515,203,caltype_txcal,0xffff,,,
1032,408,516,204,tempsense_txcal / ncores_txcal,0xffff,b7:0 - tempse; b15:8 number of cores,,
1034,40A,517,205,reserved1_txcal / reserved2_txcal,0xffff,b7:0 - reserved 1; b15:8 - reserved 2,,
1036,40C,518,206,20mhz_tbl_len_txcal,0xffff,,,
1038,40E,519,207,nsteps_txcal / nchannels_txcal,0xffff,b7:0 - nsteps_txcal; b15:8 - nchannels_txcal,,
1040,410,520,208,chan_id_txcal_ch0 / chan_id_txcal_ch1,0xffff,b7:0 -chan_id_txcal_ch0; b15:8 - chan_id_txcal_ch1,,
1042,412,521,209,chan_id_txcal_ch2 / chan_id_txcal_ch3,0xffff,b7:0 -chan_id_txcal_ch2; b15:8 - chan_id_txcal_ch3,,
1044,414,522,20A,chan_id_txcal_ch4 / chan_id_txcal_ch5,0xffff,b7:0 -chan_id_txcal_ch4; b15:8 - chan_id_txcal_ch5,,
1046,416,523,20B,chan_id_txcal_ch6 / chan_id_txcal_ch7,0xffff,b7:0 -chan_id_txcal_ch6; b15:8 - chan_id_txcal_ch7,,
1048,418,524,20C,chan_id_txcal_ch8 / chan_id_txcal_ch9,0xffff,b7:0 -chan_id_txcal_ch8; b15:8 - chan_id_txcal_ch9,,
1050,41A,525,20D,ptssi_txcal_ch0 / ptssi_txcal_ch1,0xffff,b7:0 - ptssi_txcal_ch0; b15:8 - ptssi_txcal_ch1,,
1052,41C,526,20E,ptssi_txcal_ch2 / ptssi_txcal_ch3,0xffff,b7:0 - ptssi_txcal_ch2; b15:8 - ptssi_txcal_ch3,,
1054,41E,527,20F,ptssi_txcal_ch4 / ptssi_txcal_ch5,0xffff,b7:0 - ptssi_txcal_ch4; b15:8 - ptssi_txcal_ch5,,
1056,420,528,210,ptssi_txcal_ch6 / ptssi_txcal_ch7,0xffff,b7:0 - ptssi_txcal_ch6; b15:8 - ptssi_txcal_ch7,,
1058,422,529,211,ptssi_txcal_ch8 / ptssi_txcal_ch9,0xffff,b7:0 - ptssi_txcal_ch8; b15:8 - ptssi_txcal_ch9,,
1060,424,530,212, gain_index_c0_ch0 / gain_index_c0_ch1,0xffff,b7:0 - gain_index_c0_ch0; b15:8 - gain_index_c0_ch1,,
1062,426,531,213, gain_index_c0_ch2 / gain_index_c0_ch3,0xffff,b7:0 - gain_index_c0_ch2; b15:8 - gain_index_c0_ch3,,
1064,428,532,214, gain_index_c0_ch4 / gain_index_c0_ch5,0xffff,b7:0 - gain_index_c0_ch4; b15:8 - gain_index_c0_ch5,,
1066,42A,533,215, gain_index_c0_ch6 / gain_index_c0_ch7,0xffff,b7:0 - gain_index_c0_ch6; b15:8 - gain_index_c0_ch7,,
1068,42C,534,216, gain_index_c0_ch8 / gain_index_c0_ch9,0xffff,b7:0 - gain_index_c0_ch8; b15:8 - gain_index_c0_ch9,,
1070,42E,535,217, gain_index_c1_ch0 / gain_index_c1_ch1,0xffff,b7:0 - gain_index_c1_ch0; b15:8 - gain_index_c1_ch1,,
1072,430,536,218, gain_index_c1_ch2 / gain_index_c1_ch3,0xffff,b7:0 - gain_index_c1_ch2; b15:8 - gain_index_c1_ch3,,
1074,432,537,219, gain_index_c1_ch4 / gain_index_c1_ch5,0xffff,b7:0 - gain_index_c1_ch4; b15:8 - gain_index_c1_ch5,,
1076,434,538,21A, gain_index_c1_ch6 / gain_index_c1_ch7,0xffff,b7:0 - gain_index_c1_ch6; b15:8 - gain_index_c1_ch7,,
1078,436,539,21B, gain_index_c1_ch8 / gain_index_c1_ch9,0xffff,b7:0 - gain_index_c1_ch8; b15:8 - gain_index_c1_ch9,,
1080,438,540,21C, gain_index_c2_ch0 / gain_index_c2_ch1,0xffff,b7:0 - gain_index_c2_ch0; b15:8 - gain_index_c2_ch1,,
1082,43A,541,21D, gain_index_c2_ch2 / gain_index_c2_ch3,0xffff,b7:0 - gain_index_c2_ch2; b15:8 - gain_index_c2_ch3,,
1084,43C,542,21E, gain_index_c2_ch4 / gain_index_c2_ch5,0xffff,b7:0 - gain_index_c2_ch4; b15:8 - gain_index_c2_ch5,,
1086,43E,543,21F, gain_index_c2_ch6 / gain_index_c2_ch7,0xffff,b7:0 - gain_index_c2_ch6; b15:8 - gain_index_c2_ch7,,
1088,440,544,220, gain_index_c2_ch8 / gain_index_c2_ch9,0xffff,b7:0 - gain_index_c2_ch8; b15:8 - gain_index_c2_ch9,,
1090,442,545,221,tssi0_chan0_c0 / tssi1_chan0_c0,0xffff,b7:0 - tssi0_chan0_c0 ; b15:8 - tssi1_chan0_c0,,
1092,444,546,222,tssi2_chan0_c0 / tssi3_chan0_c0,0xffff,b7:0 - tssi2_chan0_c0 ; b15:8 - tssi3_chan0_c0,,
1094,446,547,223,tssi4_chan0_c0 / tssi5_chan0_c0,0xffff,b7:0 - tssi4_chan0_c0 ; b15:8 - tssi5_chan0_c0,,
1096,448,548,224,tssi6_chan0_c0 / tssi7_chan0_c0,0xffff,b7:0 - tssi6_chan0_c0 ; b15:8 - tssi7_chan0_c0,,
1098,44A,549,225,tssi8_chan0_c0 / tssi9_chan0_c0,0xffff,b7:0 - tssi8_chan0_c0 ; b15:8 - tssi9_chan0_c0,,
1100,44C,550,226,tssi10_chan0_c0 / tssi11_chan0_c0,0xffff,b7:0 - tssi10_chan0_c0 ; b15:8 - tssi11_chan0_c0,,
1102,44E,551,227,tssi12_chan0_c0 / tssi13_chan0_c0,0xffff,b7:0 - tssi12_chan0_c0 ; b15:8 - tssi13_chan0_c0,,
1104,450,552,228,tssi14_chan0_c0 / tssi15_chan0_c0,0xffff,b7:0 - tssi14_chan0_c0 ; b15:8 - tssi15_chan0_c0,,
1106,452,553,229,tssi16_chan0_c0 / tssi17_chan0_c0,0xffff,b7:0 - tssi16_chan0_c0 ; b15:8 - tssi17_chan0_c0,,
1108,454,554,22A,tssi18_chan0_c0 / tssi19_chan0_c0,0xffff,b7:0 - tssi18_chan0_c0 ; b15:8 - tssi19_chan0_c0,,
1110,456,555,22B,tssi20_chan0_c0 / tssi21_chan0_c0,0xffff,b7:0 - tssi20_chan0_c0 ; b15:8 - tssi21_chan0_c0,,
1112,458,556,22C,tssi0_chan0_c1 / tssi1_chan0_c1,0xffff,b7:0 - tssi0_chan0_c1 ; b15:8 - tssi1_chan0_c1,,
1114,45A,557,22D,tssi2_chan0_c1 / tssi3_chan0_c1,0xffff,b7:0 - tssi2_chan0_c1 ; b15:8 - tssi3_chan0_c1,,
1116,45C,558,22E,tssi4_chan0_c1 / tssi5_chan0_c1,0xffff,b7:0 - tssi4_chan0_c1 ; b15:8 - tssi5_chan0_c1,,
1118,45E,559,22F,tssi6_chan0_c1 / tssi7_chan0_c1,0xffff,b7:0 - tssi6_chan0_c1 ; b15:8 - tssi7_chan0_c1,,
1120,460,560,230,tssi8_chan0_c1 / tssi9_chan0_c1,0xffff,b7:0 - tssi8_chan0_c1 ; b15:8 - tssi9_chan0_c1,,
1122,462,561,231,tssi10_chan0_c1 / tssi11_chan0_c1,0xffff,b7:0 - tssi10_chan0_c1 ; b15:8 - tssi11_chan0_c1,,
1124,464,562,232,tssi12_chan0_c1 / tssi13_chan0_c1,0xffff,b7:0 - tssi12_chan0_c1 ; b15:8 - tssi13_chan0_c1,,
1126,466,563,233,tssi14_chan0_c1 / tssi15_chan0_c1,0xffff,b7:0 - tssi14_chan0_c1 ; b15:8 - tssi15_chan0_c1,,
1128,468,564,234,tssi16_chan0_c1 / tssi17_chan0_c1,0xffff,b7:0 - tssi16_chan0_c1 ; b15:8 - tssi17_chan0_c1,,
1130,46A,565,235,tssi18_chan0_c1 / tssi19_chan0_c1,0xffff,b7:0 - tssi18_chan0_c1 ; b15:8 - tssi19_chan0_c1,,
1132,46C,566,236,tssi20_chan0_c1 / tssi21_chan0_c1,0xffff,b7:0 - tssi20_chan0_c1 ; b15:8 - tssi21_chan0_c1,,
1134,46E,567,237,tssi0_chan0_c2 / tssi1_chan0_c2,0xffff,b7:0 - tssi0_chan0_c2 ; b15:8 - tssi1_chan0_c2,,
1136,470,568,238,tssi2_chan0_c2 / tssi3_chan0_c2,0xffff,b7:0 - tssi2_chan0_c2 ; b15:8 - tssi3_chan0_c2,,
1138,472,569,239,tssi4_chan0_c2 / tssi5_chan0_c2,0xffff,b7:0 - tssi4_chan0_c2 ; b15:8 - tssi5_chan0_c2,,
1140,474,570,23A,tssi6_chan0_c2 / tssi7_chan0_c2,0xffff,b7:0 - tssi6_chan0_c2 ; b15:8 - tssi7_chan0_c2,,
1142,476,571,23B,tssi8_chan0_c2 / tssi9_chan0_c2,0xffff,b7:0 - tssi8_chan0_c2 ; b15:8 - tssi9_chan0_c2,,
1144,478,572,23C,tssi10_chan0_c2 / tssi11_chan0_c2,0xffff,b7:0 - tssi10_chan0_c2 ; b15:8 - tssi11_chan0_c2,,
1146,47A,573,23D,tssi12_chan0_c2 / tssi13_chan0_c2,0xffff,b7:0 - tssi12_chan0_c2 ; b15:8 - tssi13_chan0_c2,,
1148,47C,574,23E,tssi14_chan0_c2 / tssi15_chan0_c2,0xffff,b7:0 - tssi14_chan0_c2 ; b15:8 - tssi15_chan0_c2,,
1150,47E,575,23F,tssi16_chan0_c2 / tssi17_chan0_c2,0xffff,b7:0 - tssi16_chan0_c2 ; b15:8 - tssi17_chan0_c2,,
1152,480,576,240,tssi18_chan0_c2 / tssi19_chan0_c2,0xffff,b7:0 - tssi18_chan0_c2 ; b15:8 - tssi19_chan0_c2,,
1154,482,577,241,tssi20_chan0_c2 / tssi21_chan0_c2,0xffff,b7:0 - tssi20_chan0_c2 ; b15:8 - tssi21_chan0_c2,,
1156,484,578,242,tssi0_chan1_c0 / tssi1_chan1_c0,0xffff,b7:0 - tssi0_chan1_c0 ; b15:8 - tssi1_chan1_c0,,
1158,486,579,243,tssi2_chan1_c0 / tssi3_chan1_c0,0xffff,b7:0 - tssi2_chan1_c0 ; b15:8 - tssi3_chan1_c0,,
1160,488,580,244,tssi4_chan1_c0 / tssi5_chan1_c0,0xffff,b7:0 - tssi4_chan1_c0 ; b15:8 - tssi5_chan1_c0,,
1162,48A,581,245,tssi6_chan1_c0 / tssi7_chan1_c0,0xffff,b7:0 - tssi6_chan1_c0 ; b15:8 - tssi7_chan1_c0,,
1164,48C,582,246,tssi8_chan1_c0 / tssi9_chan1_c0,0xffff,b7:0 - tssi8_chan1_c0 ; b15:8 - tssi9_chan1_c0,,
1166,48E,583,247,tssi10_chan1_c0 / tssi11_chan1_c0,0xffff,b7:0 - tssi10_chan1_c0 ; b15:8 - tssi11_chan1_c0,,
1168,490,584,248,tssi12_chan1_c0 / tssi13_chan1_c0,0xffff,b7:0 - tssi12_chan1_c0 ; b15:8 - tssi13_chan1_c0,,
1170,492,585,249,tssi14_chan1_c0 / tssi15_chan1_c0,0xffff,b7:0 - tssi14_chan1_c0 ; b15:8 - tssi15_chan1_c0,,
1172,494,586,24A,tssi16_chan1_c0 / tssi17_chan1_c0,0xffff,b7:0 - tssi16_chan1_c0 ; b15:8 - tssi17_chan1_c0,,
1174,496,587,24B,tssi18_chan1_c0 / tssi19_chan1_c0,0xffff,b7:0 - tssi18_chan1_c0 ; b15:8 - tssi19_chan1_c0,,
1176,498,588,24C,tssi20_chan1_c0 / tssi21_chan1_c0,0xffff,b7:0 - tssi20_chan1_c0 ; b15:8 - tssi21_chan1_c0,,
1178,49A,589,24D,tssi0_chan1_c1 / tssi1_chan1_c1,0xffff,b7:0 - tssi0_chan1_c1 ; b15:8 - tssi1_chan1_c1,,
1180,49C,590,24E,tssi2_chan1_c1 / tssi3_chan1_c1,0xffff,b7:0 - tssi2_chan1_c1 ; b15:8 - tssi3_chan1_c1,,
1182,49E,591,24F,tssi4_chan1_c1 / tssi5_chan1_c1,0xffff,b7:0 - tssi4_chan1_c1 ; b15:8 - tssi5_chan1_c1,,
1184,4A0,592,250,tssi6_chan1_c1 / tssi7_chan1_c1,0xffff,b7:0 - tssi6_chan1_c1 ; b15:8 - tssi7_chan1_c1,,
1186,4A2,593,251,tssi8_chan1_c1 / tssi9_chan1_c1,0xffff,b7:0 - tssi8_chan1_c1 ; b15:8 - tssi9_chan1_c1,,
1188,4A4,594,252,tssi10_chan1_c1 / tssi11_chan1_c1,0xffff,b7:0 - tssi10_chan1_c1 ; b15:8 - tssi11_chan1_c1,,
1190,4A6,595,253,tssi12_chan1_c1 / tssi13_chan1_c1,0xffff,b7:0 - tssi12_chan1_c1 ; b15:8 - tssi13_chan1_c1,,
1192,4A8,596,254,tssi14_chan1_c1 / tssi15_chan1_c1,0xffff,b7:0 - tssi14_chan1_c1 ; b15:8 - tssi15_chan1_c1,,
1194,4AA,597,255,tssi16_chan1_c1 / tssi17_chan1_c1,0xffff,b7:0 - tssi16_chan1_c1 ; b15:8 - tssi17_chan1_c1,,
1196,4AC,598,256,tssi18_chan1_c1 / tssi19_chan1_c1,0xffff,b7:0 - tssi18_chan1_c1 ; b15:8 - tssi19_chan1_c1,,
1198,4AE,599,257,tssi20_chan1_c1 / tssi21_chan1_c1,0xffff,b7:0 - tssi20_chan1_c1 ; b15:8 - tssi21_chan1_c1,,
1200,4B0,600,258,tssi0_chan1_c2 / tssi1_chan1_c2,0xffff,b7:0 - tssi0_chan1_c2 ; b15:8 - tssi1_chan1_c2,,
1202,4B2,601,259,tssi2_chan1_c2 / tssi3_chan1_c2,0xffff,b7:0 - tssi2_chan1_c2 ; b15:8 - tssi3_chan1_c2,,
1204,4B4,602,25A,tssi4_chan1_c2 / tssi5_chan1_c2,0xffff,b7:0 - tssi4_chan1_c2 ; b15:8 - tssi5_chan1_c2,,
1206,4B6,603,25B,tssi6_chan1_c2 / tssi7_chan1_c2,0xffff,b7:0 - tssi6_chan1_c2 ; b15:8 - tssi7_chan1_c2,,
1208,4B8,604,25C,tssi8_chan1_c2 / tssi9_chan1_c2,0xffff,b7:0 - tssi8_chan1_c2 ; b15:8 - tssi9_chan1_c2,,
1210,4BA,605,25D,tssi10_chan1_c2 / tssi11_chan1_c2,0xffff,b7:0 - tssi10_chan1_c2 ; b15:8 - tssi11_chan1_c2,,
1212,4BC,606,25E,tssi12_chan1_c2 / tssi13_chan1_c2,0xffff,b7:0 - tssi12_chan1_c2 ; b15:8 - tssi13_chan1_c2,,
1214,4BE,607,25F,tssi14_chan1_c2 / tssi15_chan1_c2,0xffff,b7:0 - tssi14_chan1_c2 ; b15:8 - tssi15_chan1_c2,,
1216,4C0,608,260,tssi16_chan1_c2 / tssi17_chan1_c2,0xffff,b7:0 - tssi16_chan1_c2 ; b15:8 - tssi17_chan1_c2,,
1218,4C2,609,261,tssi18_chan1_c2 / tssi19_chan1_c2,0xffff,b7:0 - tssi18_chan1_c2 ; b15:8 - tssi19_chan1_c2,,
1220,4C4,610,262,tssi20_chan1_c2 / tssi21_chan1_c2,0xffff,b7:0 - tssi20_chan1_c2 ; b15:8 - tssi21_chan1_c2,,
1222,4C6,611,263,tssi0_chan2_c0 / tssi1_chan2_c0,0xffff,b7:0 - tssi0_chan2_c0 ; b15:8 - tssi1_chan2_c0,,
1224,4C8,612,264,tssi2_chan2_c0 / tssi3_chan2_c0,0xffff,b7:0 - tssi2_chan2_c0 ; b15:8 - tssi3_chan2_c0,,
1226,4CA,613,265,tssi4_chan2_c0 / tssi5_chan2_c0,0xffff,b7:0 - tssi4_chan2_c0 ; b15:8 - tssi5_chan2_c0,,
1228,4CC,614,266,tssi6_chan2_c0 / tssi7_chan2_c0,0xffff,b7:0 - tssi6_chan2_c0 ; b15:8 - tssi7_chan2_c0,,
1230,4CE,615,267,tssi8_chan2_c0 / tssi9_chan2_c0,0xffff,b7:0 - tssi8_chan2_c0 ; b15:8 - tssi9_chan2_c0,,
1232,4D0,616,268,tssi10_chan2_c0 / tssi11_chan2_c0,0xffff,b7:0 - tssi10_chan2_c0 ; b15:8 - tssi11_chan2_c0,,
1234,4D2,617,269,tssi12_chan2_c0 / tssi13_chan2_c0,0xffff,b7:0 - tssi12_chan2_c0 ; b15:8 - tssi13_chan2_c0,,
1236,4D4,618,26A,tssi14_chan2_c0 / tssi15_chan2_c0,0xffff,b7:0 - tssi14_chan2_c0 ; b15:8 - tssi15_chan2_c0,,
1238,4D6,619,26B,tssi16_chan2_c0 / tssi17_chan2_c0,0xffff,b7:0 - tssi16_chan2_c0 ; b15:8 - tssi17_chan2_c0,,
1240,4D8,620,26C,tssi18_chan2_c0 / tssi19_chan2_c0,0xffff,b7:0 - tssi18_chan2_c0 ; b15:8 - tssi19_chan2_c0,,
1242,4DA,621,26D,tssi20_chan2_c0 / tssi21_chan2_c0,0xffff,b7:0 - tssi20_chan2_c0 ; b15:8 - tssi21_chan2_c0,,
1244,4DC,622,26E,tssi0_chan2_c1 / tssi1_chan2_c1,0xffff,b7:0 - tssi0_chan2_c1 ; b15:8 - tssi1_chan2_c1,,
1246,4DE,623,26F,tssi2_chan2_c1 / tssi3_chan2_c1,0xffff,b7:0 - tssi2_chan2_c1 ; b15:8 - tssi3_chan2_c1,,
1248,4E0,624,270,tssi4_chan2_c1 / tssi5_chan2_c1,0xffff,b7:0 - tssi4_chan2_c1 ; b15:8 - tssi5_chan2_c1,,
1250,4E2,625,271,tssi6_chan2_c1 / tssi7_chan2_c1,0xffff,b7:0 - tssi6_chan2_c1 ; b15:8 - tssi7_chan2_c1,,
1252,4E4,626,272,tssi8_chan2_c1 / tssi9_chan2_c1,0xffff,b7:0 - tssi8_chan2_c1 ; b15:8 - tssi9_chan2_c1,,
1254,4E6,627,273,tssi10_chan2_c1 / tssi11_chan2_c1,0xffff,b7:0 - tssi10_chan2_c1 ; b15:8 - tssi11_chan2_c1,,
1256,4E8,628,274,tssi12_chan2_c1 / tssi13_chan2_c1,0xffff,b7:0 - tssi12_chan2_c1 ; b15:8 - tssi13_chan2_c1,,
1258,4EA,629,275,tssi14_chan2_c1 / tssi15_chan2_c1,0xffff,b7:0 - tssi14_chan2_c1 ; b15:8 - tssi15_chan2_c1,,
1260,4EC,630,276,tssi16_chan2_c1 / tssi17_chan2_c1,0xffff,b7:0 - tssi16_chan2_c1 ; b15:8 - tssi17_chan2_c1,,
1262,4EE,631,277,tssi18_chan2_c1 / tssi19_chan2_c1,0xffff,b7:0 - tssi18_chan2_c1 ; b15:8 - tssi19_chan2_c1,,
1264,4F0,632,278,tssi20_chan2_c1 / tssi21_chan2_c1,0xffff,b7:0 - tssi20_chan2_c1 ; b15:8 - tssi21_chan2_c1,,
1266,4F2,633,279,tssi0_chan2_c2 / tssi1_chan2_c2,0xffff,b7:0 - tssi0_chan2_c2 ; b15:8 - tssi1_chan2_c2,,
1268,4F4,634,27A,tssi2_chan2_c2 / tssi3_chan2_c2,0xffff,b7:0 - tssi2_chan2_c2 ; b15:8 - tssi3_chan2_c2,,
1270,4F6,635,27B,tssi4_chan2_c2 / tssi5_chan2_c2,0xffff,b7:0 - tssi4_chan2_c2 ; b15:8 - tssi5_chan2_c2,,
